ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001193125-25-260797	3322984	LTIP Units			F3	30-OCT-2025				4	A	false				285649.0					F3	A			F3		F3	Common		285649.0				285649.0				D			
0001193125-25-260797	3322985	Other Stock Units			F4	30-OCT-2025				4	A	false				285649.0					F4	A			F4		F4	Common		285649.0				285649.0				D			
0001213900-25-104677	3322865	Class B Ordinary Shares			F1	30-OCT-2025				4	J	0	F2			60000.0				0.0		A			F1		F1	Class A Ordinary Shares		60000.0				7526669.0				D	F3		
0001493152-25-020384	3323012	8% Unsecured Convertible Promissory Note		2.86		30-OCT-2025				4	A	0						65000.0		0.0		A		30-OCT-2025		30-OCT-2026		Series D-1 Convertible Preferred Stock	F1, F2	22712.0						1180000.0		D			
0001437749-25-032572	3323010	Stock Options		7.99		31-OCT-2025				4	D	0				14000.0					F4	D		22-MAR-2024		22-MAR-2033		Common Stock		14000.0				0.0				D			
0001225208-25-008841	3322868	Share Units			F1	29-OCT-2025				4	A	0				1267.0	F2			0.0		A			F1		F1	Common Stock, without par value		1267.0				173360.0	F3			D			
0001225208-25-008840	3322867	Share Units			F1	29-OCT-2025				4	A	0				342.0	F2			0.0		A			F1		F1	Common Stock, without par value		342.0				46861.0	F3			D			
0001225208-25-008839	3322818	Share Units			F1	29-OCT-2025				4	A	0				27.0	F2			0.0		A			F1		F1	Common Stock, without par value		27.0				3642.0	F3			D			
0001225208-25-008838	3322829	Share Units			F1	29-OCT-2025				4	A	0				1320.0	F2			0.0		A			F1		F1	Common Stock, without par value		1320.0				180626.0	F3			D			
0001225208-25-008837	3322961	Share Units			F1	29-OCT-2025				4	A	0				602.0	F2			0.0		A			F1		F1	Common Stock, without par value		602.0				82374.0	F3			D			
0001628280-25-047815	3322921	Stock Option (Right to Buy)		78.97		30-OCT-2025				4	M	0				600.0				0.0		D			F3	04-FEB-2029		Ordinary Shares		600.0				3201.0				D			
0001225208-25-008836	3322915	Share Units			F1	29-OCT-2025				4	A	0				182.0	F2			0.0		A			F1		F1	Common Stock, without par value		182.0				24894.0	F3			D			
0001225208-25-008835	3322895	Dividend Equivalent Rights			F1	29-OCT-2025				4	A	0				1864.0				0.0		A			F1		F1	Common Stock, without par value		1864.0				10784.0				D			
0001225208-25-008834	3322815	Dividend Equivalent Rights			F1	29-OCT-2025				4	A	0				367.0				0.0		A			F1		F1	Common Stock, without par value		367.0				2111.0				D			
0001225208-25-008833	3322988	Dividend Equivalent Rights			F1	29-OCT-2025				4	A	0				152.0				0.0		A			F1		F1	Common Stock, without par value		152.0				892.0				D			
0001225208-25-008832	3322898	Dividend Equivalent Rights			F1	29-OCT-2025				4	A	0				198.0				0.0		A			F1		F1	Common Stock, without par value		198.0				478.0				D			
