ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001193125-25-338500	2004885	Restricted Stock Units		0.0					F1		F1	Common Stock		14706.0				14706.0				D			
0001193125-25-338499	2004894	Restricted Stock Units		0.0					F1		F1	Common Stock		14706.0				14706.0				D			
0001193125-25-338498	2004955	Restricted Stock Units		0.0					F1		F1	Common Stock		14706.0				14706.0				D			
0001193125-25-338497	2004975	Restricted Stock Units		0.0					F1		F1	Common Stock		14706.0				14706.0				D			
0001561550-25-000368	2004924	Class B Common Stock			F1				F1		F1	Class A Common Stock		6203835.0				6203835.0				I		By Trust	F5
0001213900-25-127175	2004919	Employee stock option (right to buy)		5.46	F2			17-NOV-2021		17-MAY-2026		Subordinate Voting Shares		8333.0	F1							D			
0001213900-25-127175	2004920	Employee stock option (right to buy)		3.07	F3			22-DEC-2021		22-JUN-2026		Subordinate Voting Shares		3333.0	F1							D			
0001213900-25-127175	2004921	Employee stock option (right to buy)		3.58	F4			19-NOV-2025		19-NOV-2030		Subordinate Voting Shares		15000.0	F1							D			
0001213900-25-127175	2004922	Restricted Stock Units		0.0					F5		F5	Subordinate Voting Shares		16667.0	F6							D			
0001213900-25-127175	2004923	Restricted Stock Units		0.0					F7		F7	Subordinate Voting Shares		20000.0	F6							D			
0001213900-25-127175	2004918	Employee stock option (right to buy)		5.46	F2			25-SEP-2021		25-MAR-2026		Subordinate Voting Shares		16333.0	F1							D			
0001213900-25-127174	2004960	Restricted Stock Units		0.0					F7		F7	Subordinate Voting Shares		316667.0	F6							D			
0001213900-25-127174	2004961	Restricted Stock Units		0.0					F8		F8	Subordinate Voting Shares		300000.0	F6							D			
0001213900-25-127174	2004959	Restricted Stock Units		0.0					F5		F5	Subordinate Voting Shares		333333.0	F6							D			
0001213900-25-127174	2004958	Employee stock option (right to buy)		3.58	F4			19-NOV-2025		19-NOV-2030		Subordinate Voting Shares		900000.0	F2							D			
0001213900-25-127174	2004957	Employee stock option (right to buy)		1.53	F3			06-JUN-2025		06-JUN-2030		Subordinate Voting Shares		515000.0	F2							D			
0001213900-25-127174	2004956	Proportionate Voting Shares			F1				F1		F1	Subordinate Voting Shares		666600.0								I		By NYAM, LLC	
0001213900-25-127173	2004935	Restricted Stock Units		0.0					F6		F6	Subordinate Voting Shares		20000.0	F5							D			
0001213900-25-127173	2004934	Restricted Stock Units		0.0					F4		F4	Subordinate Voting Shares		6667.0	F5							D			
0001213900-25-127173	2004932	Employee stock option (right to buy)		5.46	F2			17-NOV-2021		17-MAY-2026		Subordinate Voting Shares		8333.0	F1							D			
0001213900-25-127173	2004931	Employee stock option (right to buy)		5.46	F2			25-SEP-2021		25-MAR-2026		Subordinate Voting Shares		8333.0	F1							D			
0001213900-25-127173	2004933	Employee stock option (right to buy)		3.58	F3			19-NOV-2025		19-NOV-2030		Subordinate Voting Shares		15000.0	F1							D			
0001213900-25-127172	2004951	Restricted Stock Units		0.0					F7		F7	Subordinate Voting Shares		300000.0	F5							D			
0001213900-25-127172	2004949	Restricted Stock Units		0.0					F4		F4	Subordinate Voting Shares		266667.0	F5							D			
0001213900-25-127172	2004950	Restricted Stock Units		0.0					F6		F6	Subordinate Voting Shares		216667.0	F5							D			
0001213900-25-127172	2004947	Employee stock option (right to buy)		1.53	F2			06-JUN-2025		06-JUN-2030		Subordinate Voting Shares		365000.0	F1							D			
0001213900-25-127172	2004948	Employee stock option (right to buy)		3.58	F3			19-NOV-2025		19-NOV-2030		Subordinate Voting Shares		300000.0	F1							D			
0001213900-25-127171	2004886	Employee stock option (right to buy)		2.74	F2			05-JUL-2021		05-JAN-2026		Subordinate Voting Shares		25000.0	F1							D			
0001213900-25-127171	2004887	Employee stock option (right to buy)		5.46	F3			25-SEP-2021		25-MAR-2026		Subordinate Voting Shares		16333.0	F1							D			
0001213900-25-127171	2004893	Restricted Stock Units		0.0					F9		F9	Subordinate Voting Shares		10000.0	F8							D			
0001213900-25-127171	2004892	Restricted Stock Units		0.0					F7		F7	Subordinate Voting Shares		6667.0	F8							D			
0001213900-25-127171	2004891	Employee stock option (right to buy)		3.58	F6			19-NOV-2025		19-NOV-2030		Subordinate Voting Shares		15000.0	F1							D			
0001213900-25-127171	2004890	Employee stock option (right to buy)		1.53	F5			06-JUN-2025		06-JUN-2030		Subordinate Voting Shares		5000.0	F1							D			
0001213900-25-127171	2004889	Employee stock option (right to buy)		3.07	F4			22-DEC-2021		22-JUN-2026		Subordinate Voting Shares		8333.0	F1							D			
0001213900-25-127171	2004888	Employee stock option (right to buy)		5.46	F3			17-NOV-2021		17-MAY-2026		Subordinate Voting Shares		8333.0	F1							D			
0000887343-25-000282	2004968	Performance Restricted Stock Unit			F1				F1		F1	Common Stock		28464.0								D			
0001769628-25-000132	2004916	Class B Common Stock			F1				F1		F1	Class A Common Stock		2280300.0				2280300.0				I		By Spouse	F14
0001193125-25-338341	2004896	Restricted Stock Units		0.0					F3		F3	Common Stock		53779.0				53779.0				D			
0001193125-25-338341	2004897	Restricted Stock Units		0.0					F4		F4	Common Stock		9756.0				9756.0				D			
0001193125-25-338341	2004898	Restricted Stock Units		0.0					F4		F4	Common Stock		41812.0				41812.0				D			
0001193125-25-338341	2004899	Restricted Stock Units		0.0					F4		F4	Common Stock		59801.0				59801.0				D			
0001683168-25-009454	2004874	Restricted Stock Units			F1				F4		F4	Common Stock		3101.0				3101.0				D			
0001683168-25-009454	2004875	Restricted Stock Units			F1				F5		F5	Common Stock		2710.0				2710.0				D			
0001683168-25-009454	2004873	Restricted Stock Units			F1				F3		F3	Common Stock		1600.0				1600.0				D			
0001683168-25-009451	2004900	Restricted Stock Units			F1				F3		F3	Common Stock		1600.0				1600.0				D			
0001683168-25-009451	2004903	Phantom Stock			F6				F6		F6	Common Stock		75352.0				75352.0				D			
0001683168-25-009451	2004902	Restricted Stock Units			F1				F5		F5	Common Stock		2710.0				2710.0				D			
0001683168-25-009451	2004901	Restricted Stock Units			F1				F4		F4	Common Stock		3101.0				3101.0				D			
0001683168-25-009448	2004881	Phantom Stock			F6				F6		F6	Common Stock		2815.0				2815.0				D			
0001683168-25-009448	2004879	Restricted Stock Units			F1				F4		F4	Common Stock		3101.0				3101.0				D			
0001683168-25-009448	2004878	Restricted Stock Units			F1				F3		F3	Common Stock		1600.0				1600.0				D			
0001683168-25-009448	2004880	Restricted Stock Units			F1				F5		F5	Common Stock		2710.0				2710.0				D			
0001638826-25-000051	2004867	Class B Common Stock			F3				F3		F3	Class A Common Stock		113263.0				113263.0				I		By spouse	
0001638826-25-000051	2004868	Class B Common Stock			F3				F3		F3	Class A Common Stock		3.0				3.0				I		By VK 2024 GRAT	
0001638826-25-000051	2004869	Class B Common Stock			F3				F3		F3	Class A Common Stock		267716.0				267716.0				I		By VK 2025 GRAT	
0001638826-25-000051	2004870	Class B Common Stock			F3				F3		F3	Class A Common Stock		241660.0				241660.0				I		By VK 2025-2 GRAT	
0001638826-25-000051	2004871	Class B Common Stock			F3				F3		F3	Class A Common Stock		103365.0				103365.0				I		By VK Irrevocable Nonexempt Trust	
0001638826-25-000051	2004872	Class B Common Stock			F3				F3		F3	Class A Common Stock		113263.0				113263.0				I			
0001638826-25-000051	2004863	Class B Common Stock			F3				F3		F3	Class A Common Stock		3420931.0				3420931.0				D		By RA 2024 GRAT	
0001638826-25-000051	2004864	Class B Common Stock			F3				F3		F3	Class A Common Stock		267716.0				267716.0				I		By RA 2025 GRAT	
0001638826-25-000051	2004865	Class B Common Stock			F3				F3		F3	Class A Common Stock		241660.0				241660.0				I		By RA 2025-2 GRAT	
0001638826-25-000051	2004866	Class B Common Stock			F3				F3		F3	Class A Common Stock		103365.0				103365.0				I		By RA Irrevocable Nonexempt Trust	
0001638826-25-000049	2004964	Class B Common Stock			F3				F3		F3	Class A Common Stock		3283644.0				3283644.0				D		By AM 2025 GRAT	
0001638826-25-000049	2004963	Class B Common Stock			F3				F3		F3	Class A Common Stock		429035.0				429035.0				I		By AM 2024 GRAT	
0001638826-25-000049	2004965	Class B Common Stock			F3				F3		F3	Class A Common Stock		185366.0				185366.0				I		By KE 2024 GRAT	
0001638826-25-000049	2004966	Class B Common Stock			F3				F3		F3	Class A Common Stock		429035.0				429035.0				I		By KE 2025 GRAT	
0001638826-25-000049	2004967	Class B Common Stock			F3				F3		F3	Class A Common Stock		185366.0				185366.0				I			
0001437749-25-039050	2004936	Stock Options Right-to-buy		12.29				24-APR-2021		24-APR-2030		Common Stock		4500.0				4500.0				D			
0001437749-25-039050	2004937	Stock Options Right-to-buy		20.14				22-AUG-2019		22-AUG-2028		Common Stock		12375.0				12375.0				D			
0001437749-25-039050	2004938	Stock Options Right-to-buy		21.66				13-JUN-2023		13-JUN-2032		Common Stock		5000.0				5000.0				D			
0001437749-25-039037	2004954	Stock Options Right-to-buy		21.66				13-JUN-2023		13-JUN-2032		Common Stock		5000.0				5000.0				D			
0001437749-25-039037	2004952	Stock Options Right-to-buy		20.14				22-AUG-2019		22-AUG-2028		Common Stock		12375.0				12375.0				D			
0001437749-25-039037	2004953	Stock Options Right-to-buy		12.29				24-APR-2021		24-APR-2030		Common Stock		22500.0				22500.0				D			
0001437749-25-039034	2004970	Stock Options Right-to-buy		12.29				24-APR-2021		24-APR-2030		Common Stock		13500.0				13500.0				D			
0001437749-25-039034	2004972	Stock Options Right-to-buy		21.66				13-JUN-2023		13-JUN-2032		Common Stock		5000.0				5000.0				D			
0001437749-25-039034	2004971	Stock Options Right-to-buy		20.14				22-AUG-2019		22-AUG-2028		Common Stock		12375.0				12375.0				D			
0001437749-25-039025	2004930	Stock Options		29.0				21-NOV-2025		21-NOV-2034		Common Stock		960.0	F12			960.0	F12			D			
0001437749-25-039025	2004929	Stock Options		15.1				21-NOV-2024		21-NOV-2033		Common Stock		4260.0	F11			4260.0	F11			D			
0001437749-25-039025	2004928	Stock Options		22.49				21-NOV-2023		21-NOV-2032		Common Stock		3750.0	F10			3750.0	F10			D			
0001437749-25-039025	2004927	Stock Options		26.72				21-NOV-2022		21-NOV-2031		Common Stock		7500.0	F9			7500.0	F9			D			
0001437749-25-039024	2004944	Stock Options		15.1				21-NOV-2024		21-NOV-2033		Common Stock		2556.0	F11			2556.0	F11			D			
0001437749-25-039024	2004943	Stock Options		22.49				21-NOV-2023		21-NOV-2032		Common Stock		3750.0	F10			3750.0	F10			D			
0001437749-25-039024	2004942	Stock Options		26.72				21-NOV-2022		21-NOV-2031		Common Stock		7500.0	F9			7500.0	F9			D			
0001437749-25-039024	2004945	Stock Options		29.0				21-NOV-2025		21-NOV-2034		Common Stock		960.0	F12			960.0	F12			D			
0001437749-25-039023	2004911	Stock Options		21.1				20-NOV-2021		20-NOV-2030		Common Stock		1500.0	F8			1500.0	F8			D			
0001437749-25-039023	2004915	Stock Options		29.0				21-NOV-2025		21-NOV-2034		Common Stock		1850.0	F12			1850.0	F12			D			
0001437749-25-039023	2004914	Stock Options		15.1				21-NOV-2024		21-NOV-2033		Common Stock		8010.0	F11			8010.0	F11			D			
0001437749-25-039023	2004910	Stock Options		22.12				21-NOV-2020		21-NOV-2029		Common Stock		1500.0	F8			1500.0	F8			D			
0001437749-25-039023	2004912	Stock Options		26.72				21-NOV-2022		21-NOV-2031		Common Stock		15000.0	F9			15000.0	F9			D			
0001437749-25-039023	2004913	Stock Options		22.49				21-NOV-2023		21-NOV-2032		Common Stock		7500.0	F10			7500.0	F10			D			
0001437749-25-039018	2004926	Stock Options		29.0				21-NOV-2025		21-NOV-2034		Common Stock		960.0	F12			960.0	F12			D			
0001437749-25-039018	2004925	Stock Options		26.72				21-NOV-2022		21-NOV-2031		Common Stock		7500.0	F11			7500.0	F11			D			
0001178913-25-004136	2004820	Warrant to purchase common stock		10.35				29-MAR-2021		31-MAR-2026		Common Stock		432099.0				432099.0	F4			I		By More Provident Funds & Pension Ltd.	
0001171843-25-008126	2004830	Warrant (right to buy)		0.5					F3	17-DEC-2032		Common Stock		600000.0								I		As manager	F2
0001171843-25-008126	2004829	Warrant (right to buy)		0.5					F3	17-DEC-2032		Common Stock		150000.0								I		As manager	F1
0001957644-25-000003	2004827	Restricted Stock Units			F3				F10		F10	Class A Common Stock		5760.0				5760.0				D			
0001957644-25-000003	2004826	Performance Restricted Stock Units			F5				F9		F9	Class A Common Stock		4440.0				4440.0				D			
0001957644-25-000003	2004828	Performance Restricted Stock Units			F5				F11		F11	Class A Common Stock		5760.0				5760.0				D			
0001957644-25-000003	2004825	Restricted Stock Units			F3				F8		F8	Class A Common Stock		2960.0				2960.0				D			
0001957644-25-000003	2004824	Performance Restricted Stock Units			F5				F7		F7	Class A Common Stock		1965.0				1965.0				D			
0001957644-25-000003	2004823	Performance Restricted Stock Units			F5				F6		F6	Class A Common Stock		1965.0				1965.0				D			
0001957644-25-000003	2004822	Restricted Stock Units			F3				F4		F4	Class A Common Stock		655.0				655.0				D			
0001957644-25-000003	2004821	Stock Options (Right to Buy)		182.3					F2	06-MAR-2026		Class A Common Stock		9121.0				9121.0				D			
0000912282-25-001472	2004831	7% Unsecured Convertible Note			F1				F1		F1	Common Stock				80000000.0						D			
0001882913-25-000007	2004848	Class B Common Stock			F1				F1		F1	Class A Common Stock		5342146.0				5342146.0				D			
0001902325-25-000006	2004837	Stock Options		26.41				31-DEC-2022	F2	31-DEC-2026		Common Stock		2250.0				2250.0				D			
0001902325-25-000006	2004838	Stock Options		23.54				01-JAN-2024	F2	01-JAN-2028		Common Stock		3485.0				3485.0				D			
0001902325-25-000006	2004839	Stock Options		24.2				01-JAN-2025	F2	01-JAN-2029		Common Stock		3400.0				3400.0				D			
0001902325-25-000006	2004840	Stock Options		30.51				03-MAR-2026	F2	03-MAR-2030		Common Stock		4000.0				4000.0				D			
0001902325-25-000006	2004841	Restricted Stock Units			F3				F4		F4	Common Stock		1081.0				1081.0				D			
0001743907-25-000080	2004856	Employee Stock Option (Right to Buy)		5.3				30-JUN-2023		17-APR-2029		Common Stock		4960.0								D			
0001743907-25-000080	2004855	Employee Stock Option (Right to Buy)		5.3				30-JUN-2023		07-NOV-2028		Common Stock		4948.0								D			
0001743907-25-000080	2004854	Employee Stock Option (Right to Buy)		5.3				01-APR-2023		17-APR-2029		Common Stock		1855.0								D			
0001743907-25-000080	2004853	Employee Stock Option (Right to Buy)		5.3				01-MAY-2022		07-NOV-2028		Common Stock		1847.0								D			
0001213900-25-126685	2004836	Restricted Stock Units			F7				F7		F7	Common Stock, par value $0.001 per share		100000.0				100000.0				D			
0001213900-25-126685	2004832	Incentive Stock Options		0.78					F3		F3	Common Stock, par value $.001 per share		1000000.0				1000000.0				D			
0001213900-25-126685	2004833	Incentive Stock Options		2.36					F4	13-JUL-2032		Common Stock, par value $.001 per share		1000000.0				1000000.0				D			
0001213900-25-126685	2004834	Non-Statutory Stock Options		0.35					F5	29-APR-2029		Common Stock, par value $.001 per share		150000.0				150000.0				D			
0001213900-25-126685	2004835	Non-Statutory Stock Options		0.61					F6	12-MAY-2031		Common Stock, par value $.001 per share		200000.0				200000.0				D			
0001193125-25-337216	2004860	Class B Ordinary Shares			F1				F1		F1	Class A Ordinary Shares		12021429.0								D			
0001193125-25-337203	2004852	Class B Ordinary Shares			F1				F1		F1	Class A Ordinary Shares		150000.0								D			
0001193125-25-337191	2004859	Class B Ordinary Shares			F1				F1		F1	Class A Ordinary Shares		150000.0								D			
0001213900-25-126665	2004842	Common Stock Purchase Warrants		0.06				24-MAY-2019		24-MAY-2029		Common Stock, par value $.001 per share		1585000.0				1585000.0				D			
0000897069-25-001848	2004858	Stock Option (right to buy)		1.82					F1	04-AUG-2028		Common Stock		9714.0				9714.0				D			
0001817271-25-000005	2004862	Performance Rights			F3				F3	15-NOV-2034		Common Stock		50000.0				50000.0				D			
0001817271-25-000005	2004861	Performance Rights			F3				F3	20-AUG-2028		Common Stock		200000.0				200000.0				D			
0000320187-25-000156	2004857	Class A Common Convertible			F1				F1		F1	Class B Common Stock		521792.0				521792.0				I		By Spouse	F3
0001437749-25-038931	2004849	Option to Purchase Common Stock		53.94				08-MAR-2024		08-MAR-2028		Common Stock		6147.0				6147.0				D			
0001437749-25-038931	2004850	Option to Purchase Common Stock		94.1				05-MAR-2025		05-MAR-2029		Common Stock		10000.0				10000.0				D			
0001437749-25-038931	2004851	Option to Purchase Common Stock		90.62				28-FEB-2026		28-FEB-2030		Common Stock		18000.0				18000.0				D			
0001196963-25-000005	2004843	Stock Option		37.22				23-AUG-2019	F1	23-AUG-2028		Common Stock		2000.0				2000.0				D			
0001196963-25-000005	2004845	Stock Option		24.0				25-AUG-2022	F3	25-AUG-2031		Common Stock		3500.0				3500.0				D			
0001196963-25-000005	2004846	Stock Option		28.83				25-AUG-2023	F4	25-AUG-2032		Common Stock		3500.0				3500.0				D			
0001196963-25-000005	2004847	Stock Option		25.79				25-AUG-2024	F5	25-AUG-2033		Common Stock		3500.0				3500.0				D			
0001196963-25-000005	2004844	Stock Option		18.0				26-AUG-2021	F2	26-AUG-2030		Common Stock		3500.0				3500.0				D			
0000905148-25-004501	2004782	Stock Option (right to buy)		18.5					F1	10-DEC-2035		Common Stock		55555.0								D			
0000905148-25-004501	2004783	Stock Option (right to buy)		18.5					F2	10-DEC-2035		Common Stock		55555.0								D			
0001437749-25-038919	2004725	Stock Options		22.48				30-NOV-2023		30-NOV-2032		Common Stock		5000.0	F5			5000.0	F5			D			
0001437749-25-038919	2004724	Stock Options		22.12				16-FEB-2025		16-FEB-2034		Common Stock		4480.0	F4			4480.0	F4			D			
0002102527-25-000004	2004763	2023 Restricted Stock Units			F2				F1		F1	Common Stock		6376.0								D			
0002102527-25-000004	2004764	2023 Performance-Based Restricted Stock Units			F4				F3		F3	Common Stock		9564.0								D			
0002102527-25-000004	2004765	2025 Restricted Stock Units			F2				F5		F5	Common Stock		1875.0								D			
0002102527-25-000004	2004766	2025 Performance-Based Restricted Stock Units			F4				F6		F6	Common Stock		2902.0								D			
0001493152-25-029539	2004714	Stock Option (Right to Buy)		1.29					F1	13-MAY-2036		Common Stock, $0.00001par value		100000.0								D			
0001493152-25-029537	2004717	Stock Option (Right to Buy)		1.29					F1	13-MAY-2036		Common Stock, $0.00001 par value		100000.0								D			
0001729859-25-000017	2004799	Stock Options (right to buy)		16.49				06-MAR-2025	F7	06-MAR-2034		Common Stock		8850.0				8850.0				D			
0001729859-25-000017	2004798	Stock Options (right to buy)		15.94				01-MAY-2024	F6	01-MAY-2033		Common Stock		12030.0				12030.0				D			
0001729859-25-000017	2004800	Stock Options (right to buy)		16.23				03-MAR-2026	F8	03-MAR-2035		Common Stock		20310.0				20310.0				D			
0001729859-25-000017	2004797	Stock Options (right to buy)		15.6				23-JUL-2020	F5	23-JUL-2029		Common Stock		188235.0				188235.0				D			
0001731365-25-000007	2004781	Stock Options (right to buy)		15.6				23-JUL-2020	F3	23-JUL-2029		Common Stock		62474.0				62474.0				D			
0001729897-25-000017	2004810	Stock Options (right to buy)		15.94				01-MAY-2024	F6	01-MAY-2033		Common Stock		37894.0				37894.0				D			
0001729897-25-000017	2004809	Stock Options (right to buy)		15.6				23-JUL-2020	F5	23-JUL-2029		Common Stock		656471.0				656471.0				D			
0001729897-25-000017	2004812	Stock Options (right to buy)		16.23				03-MAR-2026	F8	03-MAR-2035		Common Stock		94749.0				94749.0				D			
0001729897-25-000017	2004811	Stock Options (right to buy)		16.49				06-MAR-2025	F7	06-MAR-2034		Common Stock		37168.0				37168.0				D			
0001729840-25-000007	2004780	Stock Options (right to buy)		15.6				23-JUL-2020	F3	23-JUL-2029		Common Stock		83294.0				83294.0				D			
0001752640-25-000018	2004819	Stock Options (right to buy)		16.23				03-MAR-2026	F8	03-MAR-2035		Common Stock		21289.0				21289.0				D			
0001752640-25-000018	2004818	Stock Options (right to buy)		16.49				06-MAR-2025	F7	06-MAR-2034		Common Stock		9292.0				9292.0				D			
0001752640-25-000018	2004817	Stock Options (right to buy)		15.94				01-MAY-2024	F6	01-MAY-2033		Common Stock		12632.0				12632.0				D			
0001752640-25-000018	2004816	Stock Options (right to buy)		15.6				23-JUL-2020	F5	23-JUL-2029		Common Stock		155294.0				155294.0				D			
0001193125-25-336068	2004784	Restricted Stock Units	F1		F3				F2		F2	Class A Common Stock		68576.0								D			
0001193125-25-336020	2004777	Common Stock (right to purchase)		1.17				20-DEC-2023	F5	20-DEC-2029		Common Stock		13334.0				13334.0				D			
0001193125-25-336020	2004778	Common Stock (right to purchase)		0.61				27-DEC-2024	F5	27-DEC-2030		Common Stock		12600.0				12600.0				D			
0001193125-25-336020	2004779	Common Stock (Right to Buy)		2.44				31-DEC-2025	F5	31-DEC-2031		Common Stock		12000.0				12000.0				D			
0001193125-25-336020	2004774	Deferred Common Stock			F1				F2		F2, F3	Common Stock		20030.0				20030.0				D			
0001193125-25-336020	2004775	Common Stock (right to purchase)		1.85	F4			17-NOV-2016		17-NOV-2026		Common Stock		2000.0				2000.0				D			
0001193125-25-336020	2004776	Common Stock (right to purchase)		4.17				28-DEC-2022	F5	28-DEC-2028		Common Stock		20000.0				20000.0				D			
0001437749-25-038886	2004710	Stock Option (right to buy)		40.32				04-APR-2026	F1	04-APR-2030		Common Stock		25000.0				25000.0				D			
0001161697-25-000478	2004701	Options	F1	0.57				21-DEC-2023		15-JAN-2032		Common Stock		100000.0				835058.0				D			
0001161697-25-000478	2004706	Options		4.25					F3	03-SEP-2035		Common Stock		50000.0				50000.0				D			
0001161697-25-000478	2004705	Options		3.27					F3	04-MAR-2035		Common Stock		300000.0				300000.0				D			
0001161697-25-000478	2004702	Earnout Rights			F2				F2		F2	Common Stock		51948.0				155843.0				D			
0001161697-25-000478	2004703	Options		2.86					F3	16-AUG-2034		Common Stock		150000.0				150000.0				D			
0001161697-25-000478	2004704	Options		3.27				04-MAR-2025		04-MAR-2035		Common Stock		100000.0				100000.0				D			
0000902664-25-005416	2004708	Series C Warrants (right to buy)		6.32				25-NOV-2025		25-NOV-2030		Common Stock		1031559.0	F3							I		See footnote	F1
0000902664-25-005416	2004707	Pre-Funded Warrants (right to buy)		0.0				25-NOV-2025			F2	Common Stock		4126239.0	F3							I		See footnote	F1
0000902664-25-005416	2004709	Series B Warrants (right to buy)		13.35				22-NOV-2024		22-NOV-2029		Common Stock		421346.0	F3							I		See footnote	F1
0000354190-25-000060	2004746	Notional Stock Units		0.0	F5				F7		F7	Common Stock		177994.97				177994.97				D			
0000354190-25-000060	2004747	Non-qualified Stock Option		127.9					F8	16-MAR-2028		Common Stock		31265.0				31265.0				D			
0000354190-25-000060	2004748	Non-qualified Stock Option		86.17					F8	12-MAR-2027		Common Stock		17130.0				17130.0				D			
0000354190-25-000060	2004749	Non-qualified Stock Option		158.56					F8	15-MAR-2029		Common Stock		14545.0				14545.0				D			
0000354190-25-000060	2004754	Phantom Stock			F12				F13		F13	Common Stock		4257.05				4257.05				D			
0000354190-25-000060	2004750	Non-qualified Stock Option		79.59					F8	14-MAR-2026		Common Stock		14100.0				14100.0				D			
0000354190-25-000060	2004751	Non-qualified Stock Option		337.74	F9				F8	01-MAR-2032		Common Stock		13884.0				13884.0				D			
0000354190-25-000060	2004752	Non-qualified Stock Option		243.54					F10	01-MAR-2031		Common Stock		12726.0				12726.0				D			
0000354190-25-000060	2004753	Non-qualified Stock Option		177.09					F11	15-MAR-2030		Common Stock		12107.0				12107.0				D			
0000354190-25-000060	2004745	Notional Stock Units		0.0	F5				F6		F6	Common Stock		208342.08				208342.08				D			
0000354190-25-000058	2004729	Non-qualified Stock Option		158.56					F5	15-MAR-2029		Common Stock		8420.0				8420.0				D			
0000354190-25-000058	2004730	Non-qualified Stock Option		177.09					F6	15-MAR-2030		Common Stock		7009.0				7009.0				D			
0000354190-25-000058	2004728	Non-qualified Stock Option		127.9					F5	16-MAR-2028		Common Stock		11725.0				11725.0				D			
0000354190-25-000058	2004732	Non-qualified Stock Option		337.74	F8				F5	01-MAR-2032		Common Stock		8264.0				8264.0				D			
0000354190-25-000058	2004731	Non-qualified Stock Option		243.54					F7	01-MAR-2031		Common Stock		7368.0				7368.0				D			
0000354190-25-000058	2004733	Notional Stock Units			F9				F10		F10	Common Stock		1584.53				1584.53				D			
0000354190-25-000058	2004726	Phantom Stock			F3				F4		F4	Common Stock		20125.74				20125.74				D			
0000354190-25-000058	2004727	Non-qualified Stock Option		86.17					F5	12-MAR-2027		Common Stock		11090.0				11090.0				D			
0001193125-25-335674	2004723	Class B Units	F2, F3, F4		F2				F3, F4		F3, F4	Class A common stock, par value $0.01		7199.0								D			
0000904548-25-000008	2004761	Class B Common Stock			F8				F8		F8	Class A Common Stock		16800000.0				16800000.0				I		I	F14
0000904548-25-000008	2004760	Class B Common Stock			F8				F8		F8	Class A Common Stock		25000000.0				25000000.0				I		I	F13
0000904548-25-000008	2004759	Class B Common Stock			F8				F8		F8	Class A Common Stock		18561842.0				18561842.0				I		I	F12
0000904548-25-000008	2004758	Class B Common Stock			F8				F8		F8	Class A Common Stock		3306885.0				3306885.0				I		I	F11
0000904548-25-000008	2004762	Class B Common Stock			F8				F8		F8	Class A Common Stock		8000000.0				8000000.0				I		I	F15
0001769628-25-000130	2004722	Class B Common Stock			F1				F1		F1	Class A Common Stock		2001900.0				2001900.0				I			
0001769628-25-000130	2004721	Class B Common Stock			F1				F1		F1	Class A Common Stock		4271000.0				4271000.0				I		By Spouse	F13
0001769628-25-000130	2004720	Class B Common Stock			F1				F1		F1	Class A Common Stock		1788596.0				1788596.0				I		Venturo Family GST Exempt Trust dated June 30, 2023	F12
0001769628-25-000130	2004719	Class B Common Stock			F1				F1		F1	Class A Common Stock		5402057.0				5402057.0				I		Venturo Family 2024 Friends and Family GRAT	F11
0001769628-25-000130	2004718	Class B Common Stock			F1				F1		F1	Class A Common Stock		5343347.0				5343347.0				D		2023 Venturo Family GRAT dated June 30, 2023	F10
0001841794-25-000131	2004795	Restricted Stock Units			F8				F9		F9	Class A Common Stock		180737.0				180737.0				D			
0002102527-25-000002	2004767	2023 Restricted Stock Units			F2				F1		F1	Common Stock		6376.0								D			
0002102527-25-000002	2004768	2023 Performance-Based Restricted Stock Units			F4				F3		F3	Common Stock		9564.0								D			
0002102527-25-000002	2004769	2025 Restricted Stock Units			F2				F5		F5	Common Stock		1875.0								D			
0002102527-25-000002	2004770	2025 Performance-Based Restricted Stock Units			F4				F6		F6	Common Stock		2902.0								D			
0001593968-25-001063	2004716	Performance-Based Restricted Stock Unit		0.0				10-MAR-2028		10-MAR-2028		Common Stock, No Par Value		13036.0				13036.0				D			
0001593968-25-001063	2004715	Restricted Stock Unit		0.0				18-NOV-2025		18-NOV-2027		Common Stock, No Par Value		25110.0				25110.0				D			
0001593968-25-001062	2004772	Performance-Based Restricted Stock Unit		0.0				10-MAR-2028		10-MAR-2028		Common Stock, No Par Value		8431.0				8431.0				D			
