ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001225208-25-009765	2002418	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		38900.0				38900.0				D			
0001225208-25-009765	2002420	Stock Option		109.13				01-JAN-2028		03-FEB-2035		Common Stock		25460.0				25460.0				D			
0001225208-25-009765	2002421	Stock Units (LTIP)			F4				F4		F4	Common Stock		11669.0				11669.0				D			
0001225208-25-009764	2002444	Stock Units (LTIP)			F2				F2		F2	Common Stock		5115.0				5115.0				D			
0001225208-25-009764	2002443	Stock Option		109.13				01-JAN-2028		03-FEB-2035		Common Stock		9792.0				9792.0				D			
0001225208-25-009764	2002442	Stock Option		104.16				01-JAN-2027		05-FEB-2034		Common Stock		8294.0				8294.0				D			
0001225208-25-009764	2002441	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		11374.0				11374.0				D			
0001225208-25-009764	2002440	Stock Option		54.61				01-JAN-2025		20-JUN-2032		Common Stock		12183.0				12183.0				D			
0001225208-25-009763	2002495	Stock Option		109.13				01-JAN-2028		03-FEB-2035		Common Stock		25460.0				25460.0				D			
0001225208-25-009763	2002496	Stock Units (LTIP)			F2				F2		F2	Common Stock		11669.0				11669.0				D			
0001225208-25-009763	2002493	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		38900.0				38900.0				D			
0001225208-25-009763	2002494	Stock Option		104.16				01-JAN-2027		05-FEB-2034		Common Stock		28610.0				28610.0				D			
0001225208-25-009763	2002491	Stock Option		61.26				01-JAN-2024		02-FEB-2031		Common Stock		20682.0				20682.0				D			
