ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,TRANS_FORM_TYPE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN
0001104659-25-030101,2598198,"Ordinary Shares, No Par Value",,,,39525691.0,,,,I,,See Footnote,F2
0001104659-25-030099,2320130,"Ordinary Shares, No Par Value",,,,39525691.0,,,,I,,See Footnote,F2
0000950170-25-048019,2727328,Common Stock,,,,1638.0,,,,I,,,
0000950170-25-048019,2727327,Common Stock,,,,33156.0,F1,,,D,,Held in Methode 401(k) Plan,
0001104659-25-030070,2371248,Class A Common Stock,,,,2000000.0,,,,I,,By Caroline Cochran GRAT,
0001104659-25-030070,2371247,Class A Common Stock,,,,2000000.0,,,,I,,By Jacob DeWitte GRAT,
0001104659-25-030066,2556900,Class A Common Stock,,,,2000000.0,,,,I,,By Caroline Cochran GRAT,
0001104659-25-030066,2556901,Class A Common Stock,,,,2000000.0,,,,I,,By Jacob DeWitte GRAT,
0001393311-25-000054,2383218,Common Shares,,,,154685.0,F2,,,I,,By Trust,F4
0000891166-25-000042,2545171,Common Stock,,,,18000.0,,,,I,,By Children,
0000891166-25-000042,2545172,Common Stock,,,,2000.0,,,,I,,By Spouse,
0000939767-25-000054,2458588,Common Stock,,,,17728.0,F4,,,I,,By 401(k),
0000939767-25-000054,2458587,Common Stock,,,,1764985.0,F3,,,I,,By Trust,
0000939767-25-000053,2805388,Common Stock,,,,5835.0,F3,,,I,,By 401(k),
0000939767-25-000052,2767681,Common Stock,,,,999.0,F3,,,I,,By 401(k),
0000939767-25-000051,2741471,Common Stock,,,,23539.0,,,,I,,By spouse,
0000939767-25-000051,2741472,Common Stock,,,,10648.0,F3,,,I,,By 401(k),
0000939767-25-000050,2558336,Common Stock,,,,2723.0,F3,,,I,,By 401(k),
0001393311-25-000052,2549296,Common Shares,,,,2000.0,,,,I,,By Trust,F3
0001393311-25-000050,2333829,Common Shares,,,,1900.0,,,,I,,By Spouse IRA,
0001393311-25-000050,2333828,Common Shares,,,,316319.0,,,,I,,By Trust,F3
0001434728-25-000102,2782666,Common Stock,,,,42150.0,,,,I,,By family relationship,F2
0001434728-25-000101,2496457,Common Stock,,,,50000.0,,,,I,,"By Levine Family Trust ""A""",F3
0001568100-25-000029,2564103,Common Stock,,,,50.0,,,,I,,By spouse,
0001568100-25-000027,2667200,Common Stock,,,,13426.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2024 Grantor Retained Annuity Trust - II",
0001568100-25-000027,2667198,Common Stock,,,,22610.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2023 Grantor Retained Annuity Trust - II",
0001568100-25-000027,2667197,Common Stock,,,,22610.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2023 Grantor Retained Annuity Trust - I",
0001568100-25-000027,2667196,Common Stock,,,,144500.0,,,,I,,"By Jennifer Tejada, as Trustee of the Langford Island Trust",
0001568100-25-000027,2667202,Common Stock,,,,25000.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2024 Grantor Retained Annuity Trust - IV",
0001568100-25-000027,2667201,Common Stock,,,,25000.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2024 Grantor Retained Annuity Trust - III",
0001568100-25-000027,2667199,Common Stock,,,,13426.0,,,,I,,"By Jennifer Tejada, as Trustee of the Tejada 2024 Grantor Retained Annuity Trust - I",
0001829126-25-002246,2702624,"Ordinary Shares, $0.001 par value",,,,0.0,F1,,,D,,,
0001437749-25-010319,2752914,Common Stock,,,,60218.0,,,,I,,By The Holdsworth Family Living,
0001437749-25-010319,2752915,Common Stock,,,,710088.0,,,,I,,"By THG Securities Fund, L.P.",
0001213900-25-026504,2767025,"Common Stock, $0.00001 par value",,,,5200.0,,,,I,,See footnote,F2
0001213900-25-026504,2767026,"Common Stock, $0.00001 par value",,,,216452.0,,,,D,,,
0001641172-25-001916,2607041,Common Stock,,,,10589030.0,,,,D,F1,,
0000929638-25-001412,2658931,Common Stock,,,,1109850.0,,,,I,,See Footnotes,F1
0000915779-25-000082,2441472,Common Stock,,,,163345.0,,,,I,,"By Prairieland Holdco, LLC",
0001829126-25-002243,2670521,"Ordinary Shares, $0.001 par value",,,,0.0,F1,,,D,,,
0001829126-25-002242,2593032,"Ordinary Shares, $0.001 par value",,,,0.0,F1,,,D,,,
0001829126-25-002241,2670606,"Ordinary Shares, $0.001 par value",,,,0.0,F1,,,D,,,
0000091419-25-000022,2814259,Common Shares,,,,2597.0,,,,I,,401(k),F1
0001415889-25-009285,2468405,Class A Common Stock,,,,101727.0,,,,I,,By Spouse,
0001437749-25-010307,2508133,Common Stock,,,,1518.0,,,,I,,,
0001437749-25-010307,2508132,Common Stock,,,,140123.0,,,,D,,By Spouse's IRA,
0001127602-25-010679,2537345,"Class A Common Stock, Par Value $1",,,,201262.0,,,,D,,,
0000929638-25-001411,2589327,Common Stock,,,,1002207.0,,,,I,,See Footnotes,"F3, F1"
0001406587-25-000046,2607270,Common Stock,,,,4300.0,,,,I,,Held by The Anthony and Mary Oxley Revocable Trust.,
0001415889-25-009277,2507286,Common Stok,,,,86775.0,,,,I,,By Trust,F1
0001415889-25-009277,2507287,Common Stock,,,,10725.0,,,,I,,By Trust,F2
0001415889-25-009277,2507288,Common Stock,,,,8532.0,,,,I,,By Trust,F3
0001415889-25-009277,2507290,Common Stock,,,,121301.0,,,,I,,By Trust,F5
0001415889-25-009277,2507289,Common Stock,,,,16328.0,,,,I,,By Trust,F4
0001415889-25-009275,2766277,Common Stock,,,,76750.0,,,,I,,By Trust,F2
0001415889-25-009275,2766278,Common Stock,,,,10417.0,,,,I,,By Spouse IRA,
0001415889-25-009275,2766276,Common Stok,,,,59250.0,,,,I,,By Trust,F1
0001415889-25-009273,2440154,Common Stock,,,,15607.0,,,,I,,By Trust,F1
0000950142-25-000925,2760234,Common Stock,,,,74999994.0,,,,I,,See footnotes,"F3, F4"
0001127602-25-010677,2799448,Common,,,,395970.0,,,,I,,By Wife's Trust for Children and Reporting Person,
0001127602-25-010677,2799447,Common,,,,6774.0,,,,I,,By Son,
0001127602-25-010677,2799446,Common,,,,178689.0,,,,I,,By Trust for Wife,
0001127602-25-010677,2799444,Common,,,,415203.0,,,,I,,By Trust for Children,
0001127602-25-010677,2799443,Common Stock,,,,5717.21,,,,I,,By 401(k),
0001127602-25-010677,2799445,Common,,,,57270.0,,,,I,,By Wife's Trust for Children,
0001581760-25-000057,2682389,Common Stock,,,,195312.0,F4,,,I,,Held by the Mckenzie Hulls 2023 Irrevocable Trust,
0001581760-25-000057,2682388,Common Stock,,,,195312.0,F4,,,I,,Held by the Rose Hulls 2023 Irrevocable Trust,
0001581760-25-000057,2682387,Common Stock,,,,195312.0,F4,,,I,,Held by the Robin Hulls 2023 Irrevocable Trust,
0001581760-25-000057,2682390,Common Stock,,,,1846.0,,,,I,,"Held by ICCA Labs, LLC",F5
0000950170-25-047899,2747283,Restricted Stock,,,,53595.0,,,,D,,,
0000950170-25-047884,2804808,Class C Google Stock Units,F2,,,66455.0,,,,D,,,
0000950170-25-047884,2804809,Class C Google Stock Units,F3,,,104444.0,,,,D,,,
0000950170-25-047884,2804807,Class C Google Stock Units,F1,,,42508.0,,,,D,,,
0001403694-25-000007,2760505,Common Stock,,,,11136.0,,,,I,,By spousal trust,F3
0001127602-25-010676,2418624,Common Stock,,,,112000.0,,,,I,,Held In Family Trust,
0000897069-25-000707,2347040,Common Stock,,,,85100.0,,,,I,,Shares held in trust for benefit of Reporting Person,
0000950170-25-047856,2764265,Class A Common Stock,,,,0.0,,,,D,,,
0000950170-25-047807,2482910,Class C Google Stock Units,F1,,,181.0,,,,D,,,
0000950170-25-047807,2482912,Class C Google Stock Units,F3,,,1606.0,,,,D,,,
0000950170-25-047807,2482913,Class C Google Stock Units,F4,,,1593.0,,,,D,,,
0000950170-25-047807,2482911,Class C Google Stock Units,F2,,,984.0,,,,D,,,
0001225208-25-003746,2333610,Common Stock,,,,172831.0,,,,I,,Spouse Irrevocable Trust,
0001225208-25-003746,2333609,Common Stock,,,,1153938.0,,,,I,,Spousal GRAT,
0001225208-25-003746,2333608,Common Stock,,,,702903.0,,,,I,,Sole general partner of limited partnership B,
0001225208-25-003746,2333606,Common Stock,,,,396100.0,,,,I,,Family Foundation,
0001225208-25-003746,2333605,Common Stock,,,,69386.03,F1,,,I,,401(k),
0001225208-25-003746,2333607,Common Stock,,,,2061.0,,,,I,,IRA,
0001415889-25-009246,2799488,Class A Common Stock,,,,3333.0,,,,D,,,
0001104659-25-029914,2461470,Common Stock,,,,1200.0,,,,I,F2,By Daughter,
0001104659-25-029914,2461471,Common Stock,,,,600.0,,,,I,F2,By Son,
0001127602-25-010672,2377108,Common Stock,,,,2083.0,,,,I,,by Trust 2,F2
0001127602-25-010672,2377107,Common Stock,,,,2083.0,,,,I,,by Trust 1,F1
0001062993-25-006588,2524178,Common Stock,,,,8136.0,F2,,,I,,Held by Mr. Buchanan's wife.,
0000905148-25-001026,2324769,Common Stock,,,,12298.0,,,,I,,Spouse,F2
0000905148-25-001026,2324770,Common Stock,,,,2134148.0,,,,I,,CFW Partners,
0000905148-25-001026,2324771,Common Stock,,,,584.0,,,,I,,Granddaughter,F3
0001104659-25-029899,2617539,Class B Common Stock,,,,279308.0,,,,I,,By Grantor Retained Annuity Trusts,
0001104659-25-029899,2617540,Class B Common Stock,,,,32635.0,,,,I,,By 401(K) Plan,
0001571123-25-000046,2334168,Common Stock,,,,334.0,,,,I,,By Wife's second trust,
0001571123-25-000046,2334167,Common Stock,,,,1000.0,,,,I,,By Wife's Trust,
0001104659-25-029886,2775468,Class B Common Stock,,,,92654.0,,,,I,,By 401(K) Plan,
0001104659-25-029884,2777142,Class B Common Stock,,,,100000.0,,,,I,,By spouse,
0001104659-25-029884,2777143,Class B Common Stock,,,,92654.0,,,,I,,By 401(K) Plan,
0001104659-25-029884,2777141,Class B Common Stock,,,,12696921.0,,,,I,,By Grantor Retained Annuity Trust,
0001104659-25-029880,2554578,Class B Common Stock,,,,92654.0,,,,I,,By 401(K) Plan,
0001104659-25-029880,2554577,Class B Common Stock,,,,137512.0,,,,I,,By spouse,
0001062993-25-006581,2420350,Common Stock,,,,115221.0,F1,,,D,,,
0001062993-25-006579,2799460,Common Stock,,,,56756.0,F1,,,D,,,
0001415889-25-009243,2644361,Class A Common Stock,,,,499503.0,,,,D,,,
0001104659-25-029876,2581169,Class B Common Stock,,,,92654.0,,,,I,,By 401(K) Plan,
0000950170-25-047747,2338164,Common Stock,,,,29252.0,F1,,,D,,,
0001062993-25-006577,2581784,Common Stock,,,,43464.0,F1,,,D,,,
0001641172-25-001733,2740084,Common Stock,,,,19115.0,F3,,,I,,Held by Anest Holdings Pty Ltd,F4
0000950170-25-047739,2542830,Common Stock,,,,2113.0,,,,I,,By 401(k) plan,
0000950170-25-047734,2710778,Common Stock,,,,123754.0,,,,I,,By Trust,
0001062993-25-006573,2734728,Common Stock,,,,3406.99,,,,I,,401(K) Plan,
0001550913-25-000067,2353137,MacKenzie Realty Capital Inc. Common Stock,,,,9935.45,,,,I,,"By MPF Successors, LP",F2
0001062993-25-006562,2342689,Common Stock,,,,27649.0,,,,I,,By Trust,
0000807249-25-000056,2389236,Common Stock,,,,68321.0,,,,I,,Shares held by a Ltd. Partnership,F2
0001127602-25-010662,2580620,Common Stock,,,,20000.0,,,,I,,Trust-MPF,
0001127602-25-010662,2580619,Common Stock,,,,20000.0,,,,I,,Trust-LTF,
0001127602-25-010662,2580618,Common Stock,,,,20000.0,,,,I,,Trust-GEF,
0000807249-25-000055,2521830,Common Stock,,,,764303.0,,,,I,,Shares held by a Ltd. Partnership,F2
0001550913-25-000066,2463244,MacKenzie Realty Capital Inc. Common Stock,,,,9935.45,,,,I,,"By MPF Successors, LP",F2
0001127602-25-010654,2454081,Class M-I Common Stock,,,,16612.63,,,,I,,"Through Lynn C. Thurber Revocable Trust dated June 12, 2020",
0001437749-25-010121,2630052,Common Stock,,,,24996.0,,,,D,,,
0001437749-25-010112,2723417,Common Stock,,,,16287.0,,,,D,,,
0001437749-25-010102,2379180,Common Stock,,,,10594.0,,,,D,,,
0001213900-25-026100,2816394,Common Stock,,,,570989.0,,,,D,,,
0001213900-25-026096,2384465,Common Stock,,,,815073.0,,,,D,,,
0001437749-25-010094,2638875,Common Stock,,,,27430.0,,,,I,,Trust,F5
0001213900-25-026083,2358853,Common Stock,,,,27502.0,,,,D,,,
0001437749-25-010089,2371034,Common Stock,,,,23467.0,,,,D,,,
0001437749-25-010085,2770903,Common Stock,,,,68122.0,,,,D,,,
0001127602-25-010637,2534834,Common,,,,13572.1,,,,I,,401(k) Plan,
0001683168-25-002091,2625409,Common Stock,,,,0.0,,,,D,,,
0001683168-25-002085,2428909,Common Stock,,,,0.0,,,,D,,,
0001104659-25-029783,2555704,Common Stock,,,,13293.0,,,,D,,,
0001225208-25-003736,2810096,Common Stock,,,,52196.0,,,,D,,,
0001225208-25-003735,2351568,Common Stock,,,,22316.23,F1,,,D,,,
0001727689-25-000021,2414947,Common Stock,,,,601053.0,,,,D,,"By Myrmikan Gold Fund, LLC",
0001727689-25-000021,2414948,Common Stock,,,,7172849.0,,,,I,,,
0001727689-25-000020,2736415,Common Stock,,,,25000.0,,,,D,,,
0000950170-25-047400,2814386,Common Stock,,,,10077.44,,,,I,,Employee Stock Purchase Plan,F4
0000950170-25-047400,2814385,Common Stock,,,,18493.0,,,,I,,401(k),F3
0000950170-25-047400,2814384,Common Stock,,,,207136.0,,,,I,,Rabbi Trust,F2
0001437749-25-010028,2349929,Common Stock,,,,7452.0,F1,,,I,,CDK PARTNERS LP,
0001437749-25-010028,2349928,Common Stock,,,,4416.0,F1,,,I,,HORIZON KINETICS HARD ASSETS II LLC,
0001437749-25-010028,2349932,Common Stock,,,,5490.0,F1,,,I,,FROMEX Equity Corp,
0001437749-25-010028,2349931,Common Stock,,,,180.0,F1,,,I,,Spouse,
0001437749-25-010028,2349930,Common Stock,,,,16647.0,F1,,,I,,CDK FUND LTD,
0001437749-25-010028,2349933,Common Stock,,,,24024.0,F1,,,I,,FRMO Corp,
0001562180-25-002791,2328533,Common Stock,,,,1890.0,,,,I,,The Dina Dublon Family Trust,
0001127602-25-010625,2468770,Common Stock,,,,3300.0,,,,I,,By Trusts,
0002059978-25-000002,2673575,Common Stock,,,,3016.0,F1,,,I,,Held thru Bank ESOP,
0002059978-25-000002,2673576,Common Stock,,,,4090.58,F2,,,D,,,
0001214659-25-005022,2365214,Common Shares,,,,1494143.0,,,,I,,Family Trust,
0001214659-25-005022,2365215,Common Shares,,,,445000.0,,,,I,,Irrevocable Trust,
0001213900-25-025849,2703832,Common Stock,,,,3125.0,F3,,,I,,By daughter,
0001213900-25-025849,2703833,Common Stock,,,,3125.0,F3,,,I,,By daughter,
0001213900-25-025849,2703831,Common Stock,,,,6313.0,F3,,,I,,By spouse's trust,
0002062023-25-000002,2495301,"Class E Common Stock, $0.01 par value",,,,3675.0,,,,D,,,
0001013594-25-000434,2517682,Common Stock,"F1, F7",,,3150.0,,,,I,,By: Spouse,F4
0001013594-25-000434,2517683,Common Stock,"F1, F6",,,887555.0,,,,I,,"By: The D3 Family Fund, L.P.",F2
0001013594-25-000434,2517684,Common Stock,"F1, F6",,,1561985.0,,,,I,,"By: The D3 Family Bulldog Fund, L.P.",F2
0001013594-25-000434,2517685,Common Stock,"F1, F6",,,105469.0,,,,I,,By: Haredale Ltd.,F2
0001013594-25-000434,2517681,Common Stock,"F1, F7",,,1590.0,,,,I,,By: Children,F3
0001013594-25-000434,2517686,Common Stock,"F1, F6",,,425555.0,,,,I,,"By: Benedict Value Fund, L.P.",F2
0001225208-25-003732,2718795,"Common Stock, no par value",,,,2229.0,F1,,,D,,,
0001415889-25-009207,2524016,Common Stock,,,,383119.0,,,,I,,See footnote,F3
0001415889-25-009207,2524015,Common Stock,,,,904.0,,,,I,,By Spouse,
0001415889-25-009207,2524014,Common Stock,,,,107526.0,,,,I,,See footnote,F2
0000108985-25-000025,2426290,Common Stock,,,,97.78,F1,,,I,,by child,
0001062993-25-006535,2790175,Humana Common,,,,512.0,,,,I,,,
0001062993-25-006535,2790174,Humana Common,,,,15702.0,F7,,,D,,See Footnote,F1
0000950170-25-047130,2548947,Common Stock,,,,115630.0,,,,I,,See Footnote.,F3
0000950170-25-047130,2548948,Common Stock,,,,90432.0,,,,I,,See Footnote.,F4
0000950170-25-047130,2548946,Common Stock,,,,253246.0,,,,I,,See Footnote.,F2
0001013762-25-004390,2627525,Common Stock,,,,983120.0,,,,D,,,
0000950142-25-000891,2469346,Class A common stock,,,,26559.0,,,,D,F5,,
0000950142-25-000891,2469345,Class A common stock,,,,520666.0,,,,I,,See footnote,F1
0001641172-25-001402,2335113,Common Stock,,,,1626453.0,,,,I,,See Footnote,F4
0001641172-25-001402,2335112,Common Stock,,,,17590238.0,,,,I,,See Footnote,F3
0000950170-25-047106,2666179,Common Stock,,,,344827.0,,,,I,,"By The Column Group Opportunity III, LP","F3, F4"
0000950170-25-047106,2666178,Common Stock,,,,795411.0,,,,I,,"By The Column Group III-A, LP",F2
0000950170-25-047106,2666177,Common Stock,,,,704332.0,,,,I,,"By The Column Group III, LP",F1
0001013762-25-004357,2575145,Common Stock,,,,240000.0,,,,D,,,
0001474506-25-000065,2538141,"Common Stock, par value $0.001 per share",,,,51002.0,F1,,,D,,,
0001013762-25-004349,2805271,Common Stock,,,,888148.0,F6,,,I,,By NeuCen Biomedical Co. Ltd.,
0001013762-25-004349,2805272,Common Stock,,,,488196.0,F7,,,I,,See footnote 7.,
0001013762-25-004349,2805270,Common Stock,,,,29309.0,F5,,,I,,By Orion Biomed Inc.,
0001013762-25-004348,2720439,Common Stock,,,,2025000.0,F4,,,D,,By KIG LLC,
0001013762-25-004348,2720440,Common Stock,,,,550000.0,F5,,,I,,"By AFH Holdings & Advisory, LLC.",
0001013762-25-004348,2720441,Common Stock,,,,3714020.0,F6,,,I,,,
0001013762-25-004347,2586639,Common Stock,,,,545800.0,F4,,,I,,See footnote 4.,
0001013762-25-004347,2586640,Common Stock,,,,888148.0,F5,,,I,,By NeuCen Biomedical Co. Ltd.,
0001013762-25-004347,2586642,Common Stock,,,,93253.0,F6,,,I,,By Tien Duan Chen Trust.,
0001013762-25-004347,2586641,Common Stock,,,,2833961.0,F6,,,I,,By TR Chen Third Family Limited Partnership.,
0001628280-25-015515,2504845,Common Stock,,,,92929.0,,,,I,,See Footnote,F3
0000950170-25-047095,2563336,Common Stock,,,,15500.0,,,,I,,By Trust,
0001628280-25-015514,2789594,Common Stock,,,,2093100.0,,,,I,,See Footnote,F3
0001071255-25-000022,2755532,Common Stock,F1,,,845.0,,,,D,,,
0001641172-25-001395,2482144,Common Stock,,,,11386.0,,,,I,,"By Travel and Media Tech, LLC",F3
0001214659-25-005002,2478808,Common Stock,,,,496780.0,,,,I,,By Trustee of Profit Sharing Plan,
0001214659-25-005002,2478809,Common Stock,,,,43148.0,,,,I,,,
0001214659-25-005002,2478807,Common Stock,,,,2440322.0,,,,D,,By Family Limited Partnership,F2
0001641172-25-001393,2337431,Common Stock,,,,1733.0,,,,I,,"By Monaco Investment Partners, LP","F4, F5"
0001641172-25-001393,2337432,Common Stock,,,,11386.0,,,,I,,"By Travel and Media Tech, LLC","F4, F6"
0000950170-25-047086,2730133,"Common Stock, $1.00 par value",,,,344421.0,,,,D,,,
0001437749-25-009939,2565759,Common Stock,,,,35000.0,,,,I,,By Spouse,
0001437749-25-009939,2565760,Common Stock,,,,39808.0,F4,,,I,,By 401(k),
0001437749-25-009939,2565761,Common Stock,,,,17742.0,F4,,,I,,By ESOP,
0001437749-25-009937,2750208,Common Stock,,,,15600.0,,,,I,,By Trust,
0001437749-25-009937,2750207,Common Stock,,,,54342.0,F4,,,I,,By 401(k),
0001437749-25-009937,2750209,Common Stock,,,,17742.0,F4,,,I,,By ESOP,
0001437749-25-009937,2750210,Common Stock,,,,441.0,F4,,,I,,By Spouse's ESOP,
0001437749-25-009935,2641847,Common Stock,,,,17742.0,F4,,,I,,By ESOP,
0000950170-25-047079,2521721,Common Stock,,,,1000.0,,,,I,,By Spouse,
0001727689-25-000019,2561589,Common Stock,,,,904000.0,,,,I,,By Lepard children,
0001727689-25-000019,2561588,Common Stock,,,,2559656.0,,,,I,,"By Sea View Investments, LLC",
0001727689-25-000019,2561590,Common Stock,,,,135000.0,,,,I,,,
0001727689-25-000019,2561587,Common Stock,,,,977405.0,,,,D,,By EMA GARP FUND LP,
0001727689-25-000018,2303459,Common Stock,,,,166666.0,,,,D,,,
0000919574-25-002165,2564851,Common Stock,,,,25900.0,,,,D,F5,,
0001432504-25-000010,2716788,Common Stock,,,,56987.0,,,,D,,,
0000950170-25-047016,2495196,Common Stock,,,,14966.0,F1,,,D,,,
0001654954-25-003559,2682754,Common Stock,,,,70441.0,,,,I,,"VP, Sec, and Chairman of Alexander Railroad",
0001654954-25-003559,2682753,Common Stock,,,,39900.0,,,,I,,Son,
0001437749-25-009923,2760940,Common Stock,,,,1000.0,,,,I,,By spouse,
0001127602-25-010594,2538697,Common Stock,,,,33280.0,,,,I,,By Managed Account,F7
0001659166-25-000062,2463906,Common Stock,,,,25.0,,,,D,,,
0001013762-25-004300,2491310,Subordinate Voting Shares,,,,110362683.0,,,,I,,See Footnote,F2
0001640147-25-000062,2401065,Class A Common Stock,,,,750000.0,F1,,,I,,Trust,F4
0001640147-25-000062,2401064,Class A Common Stock,,,,750000.0,F1,,,I,,Trust,F3
0001640147-25-000062,2401066,Class A Common Stock,,,,65054.0,F5,,,D,,,
0001127602-25-010592,2645666,Class A Common Stock,,,,40567.0,F9,,,I,,,
0001127602-25-010592,2645658,Class A Common Stock,,,,820752.0,,,,D,,By Spouse,
0001127602-25-010592,2645664,Class A Common Stock,,,,58300.0,F7,,,I,,,
0001127602-25-010592,2645663,Class A Common Stock,,,,32228.0,F6,,,D,,By Spouse,
0001127602-25-010592,2645662,Class A Common Stock,,,,134040.0,F5,,,D,,By Spouse,
0001127602-25-010592,2645661,Class A Common Stock,,,,321694.0,F4,,,D,,By Spouse,
0001127602-25-010592,2645660,Class A Common Stock,,,,672628.0,F3,,,D,,By Spouse,
0001127602-25-010592,2645659,Class A Common Stock,,,,48354.0,,,,I,,By Spouse,
0001127602-25-010592,2645665,Class A Common Stock,,,,22121.0,F8,,,I,,,
0001127602-25-010592,2645667,Class A Common Stock,,,,2120.0,F10,,,I,,,
0001127602-25-010592,2645668,Class A Common Stock,,,,34428.0,F11,,,I,,,
0001641172-25-001349,2809158,Common Stock,,,,809636.0,,,,D,,,
0001641172-25-001348,2430215,Common Stock,,,,81872.0,,,,D,,,
0001104659-25-029477,2350959,Class A Common Stock,,,,90564.0,F2,,,I,,By Trust,F2
0002007919-25-000025,2662545,Common Stock,,,,250000.0,,,,I,,By Jon Faiz Kayyem Revocable Trust,F3
0002007919-25-000025,2662547,Common Stock,,,,69843.0,,,,I,,By Child A,F5
0002007919-25-000025,2662546,Common Stock,,,,250000.0,,,,I,,By Paige Gates-Kayyem Revocable Trust,F4
0002007919-25-000025,2662548,Common Stock,,,,69843.0,,,,I,,By Child B,F6
0001415889-25-009198,2472335,Ordinary Shares,,,,3801000.0,,,,I,,By Frazier Lifesciences Sponsor LLC,F3
0000905148-25-001020,2490713,Class A Common Stock,,,,186737.0,,,,D,,,
0001793659-25-000081,2778805,Class A Common Stock,,,,205448.0,,,,I,,By Spouse,
0001013762-25-004278,2337730,Common Stock,,,,797488.0,,,,D,,,
0001366868-25-000056,2380892,Voting Common Stock,,,,13347.0,,,,I,,By Thermo Investments Limited Partnership,
0001366868-25-000056,2380891,Voting Common Stock,,,,200000.0,,,,I,,Monroe Irr. Educational Trust,
0001366868-25-000056,2380890,Voting Common Stock,,,,58708076.0,,,,I,,Thermo Funding II LLC,
0001366868-25-000056,2380889,Voting Common Stock,,,,42717.0,,,,I,,By FL Investment Holdings LLC,
0001366868-25-000056,2380888,Voting Common Stock,,,,947273.0,,,,I,,"By Thermo Properties II, LLC",
0001366868-25-000056,2380887,Voting Common Stock,,,,13142665.0,,,,I,,Thermo Funding Company,
0001366868-25-000056,2380895,Voting Common Stock,,,,45100.0,,,,D,,,
0001366868-25-000056,2380894,Voting Common Stock,,,,1956.0,,,,I,,By James Monroe III Grantor Trust,
0001366868-25-000056,2380893,Voting Common Stock,,,,41238.0,,,,I,,By Globalstar Satellite L.P.,
0001366868-25-000055,2765196,Voting Common Stock,,,,1116400.0,,,,I,,By Trust,
0001366868-25-000055,2765197,Voting Common Stock,,,,12374.0,,,,D,,,
0000950170-25-046952,2698905,Common Stock,,,,30127177.0,,,,I,,,
0000950170-25-046952,2698904,Common Stock,,,,3568951.0,,,,D,,See Footnote,F3
0001127602-25-010590,2697496,Common,,,,93654.0,,,,I,,By spouse,
0001628280-25-015487,2399276,Ordinary Shares,,,,1000000.0,,,,I,,By Zhan BVI Co Ltd,F6
0001127602-25-010589,2662790,Common Stock,,,,250022.74,,,,D,,,
0001127602-25-010588,2572915,Class A Common Stock,,,,233344.0,F2,,,D,,,
0001127602-25-010588,2572916,Class A Common Stock,,,,546257.0,F3,,,D,,,
0001127602-25-010584,2783072,Class A Common Stock,,,,33820.0,F4,,,D,,,
0001127602-25-010584,2783070,Class A Common Stock,,,,125022.0,F2,,,D,,,
0001127602-25-010584,2783069,Class A Common Stock,,,,262853.0,,,,D,,,
0001127602-25-010584,2783071,Class A Common Stock,,,,64931.0,F3,,,D,,,
0001225208-25-003730,2818219,Common Stock,,,,802.0,,,,I,,As Trustee for Family Trust #1,
0001225208-25-003729,2789449,Common Stock,,,,18837.05,,,,I,,By Issuer's Supplemental Stock Purchase and Tax Savings Plan,F3
0001225208-25-003729,2789448,Common Stock,,,,377526.96,F2,,,I,,By Executive Deferred Compensation Plan,F3
0001225208-25-003728,2477686,Common Stock,,,,8026.45,,,,I,,By Executive Deferred Compensation Plan,F2
0001225208-25-003727,2489938,Common Stock,,,,53077.99,,,,I,,By Issuer's Investment and Tax Savings Plan (401(k) Plan),F2
0001225208-25-003727,2489940,Common Stock,,,,1924.43,,,,I,,By Spouse,F2
0001225208-25-003727,2489937,Common Stock,,,,550500.0,,,,I,,by GRATS,F2
0001225208-25-003727,2489936,Common Stock,,,,2898505.0,,,,I,,By Family Trusts,F2
0001225208-25-003727,2489935,Common Stock,,,,3441119.56,,,,I,,By Executive Deferred Compensation Plan,F2
0001225208-25-003727,2489939,Common Stock,,,,90363.27,,,,I,,By Issuer's Supplemental Stock Purchase and Tax Savings Plan,F2
0001225208-25-003724,2668559,Common Stock,,,,6533.84,,,,I,,By Issuer's Supplemental Stock Purchase and Tax Savings Plan,F2
0001225208-25-003723,2717845,Common Stock,,,,345.86,,,,I,,By Issuer's Supplemental Stock Purchase and Tax Savings Plan,F2
0001225208-25-003722,2753151,Common Stock,,,,6824.0,,,,I,,By Issuer's Supplemental Stock Purchase and Tax Savings Plan,F2
0001104659-25-029438,2786824,"Common Stock, $0.001 par value",,,,1890.0,F12,,,D,,See Footnote,F14
0001104659-25-029438,2786825,"Common Stock, $0.001 par value",,,,31573990.0,,,,I,,See Footnote,F15
0001104659-25-029438,2786826,"Common Stock, $0.001 par value",,,,12272030.0,,,,I,,See Footnote,F16
