ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,TRANS_FORM_TYPE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN
0001437749-25-008197,2431212,Class A Common Stock,,,,500.0,,,,D,,,
0000950170-25-040967,2806601,Common Stock,,,,4245.0,"F1, F2",,,D,,,
0000912593-25-000126,2761688,"COMMON STOCK, $0.01 PAR VALUE",,,,15589.0,,,,I,,Owned by spouse,
0000912593-25-000126,2761689,"COMMON STOCK, $0.01 PAR VALUE",,,,86800.0,,,,I,,Owned by irrevocable trust.,F1
0000950170-25-040965,2405940,Common Stock,,,,10000.0,"F2, F1",,,D,,,
0001437749-25-008190,2789984,Class A Common Stock,,,,6140.0,F1,,,I,,,
0001437749-25-008190,2789983,Class A Common Stock,,,,376095.0,,,,D,,By 401(k) plan,
0001437749-25-008190,2789982,Class B Common Stock,,,,4265.0,,,,I,,By Wife,
0001437749-25-008186,2452585,Class A Common Stock,,,,3100.0,,,,D,,by 401(k) plan,
0001437749-25-008186,2452586,Class A Common Stock,,,,1388.0,F1,,,I,,,
0001437749-25-008183,2559197,Class A Common Stock,,,,2118.0,,,,I,,By 401(k) Plan,F1
0001437749-25-008178,2645605,Class A Common Stock,,,,3867.0,F1,,,I,,By 401(k) plan,
0001437749-25-008178,2645604,Class B Common Stock,,,,1772.0,F1,,,I,,By 401(k) Plan,
0000950170-25-040933,2353400,Common Stock,,,,10077.44,,,,I,,Employee Stock Purchase Plan,F4
0000950170-25-040933,2353398,Common Stock,,,,156630.0,,,,I,,Rabbi Trust,F2
0000950170-25-040933,2353399,Common Stock,,,,18493.0,,,,I,,401(k),F3
0000950170-25-040929,2525645,Common Stock,,,,49336.15,F2,,,D,,,
0001437749-25-008166,2664911,Common stock $1.00 par value,,,,754.0,,,,I,,401(k) plan,
0001437749-25-008165,2565066,Common stock $1.00 par value,,,,1592.0,,,,I,,401(k) plan,
0001156375-25-000051,2634733,Common Stock Class A,,,,12239.0,,,,I,,by Trust,
0001156375-25-000051,2634734,Common Stock Class A,,,,10811.0,,,,I,,by Spouse,
0001437749-25-008161,2347584,Common Stock,,,,302.0,,,,I,,401k account,
0001437749-25-008160,2479895,Common Stock,,,,7452.0,F2,,,I,,CDK Partners LP,
0001437749-25-008160,2479896,Common Stock,,,,16647.0,F2,,,I,,CDK Fund Ltd,
0001437749-25-008160,2479897,Common Stock,,,,180.0,F2,,,I,,Spouse,
0001437749-25-008160,2479894,Common Stock,,,,4416.0,F2,,,I,,Horizon Kinetics Hard Assets II LLC,
0001437749-25-008160,2479898,Common Stock,,,,5490.0,F2,,,I,,FROMEX Equity Corp,
0001437749-25-008160,2479899,Common Stock,,,,24024.0,F2,,,I,,FRMO Corp,
0001127602-25-009736,2618191,Common,,,,13572.1,,,,I,,401(k) Plan,
