ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001628280-25-034160	3213216	Stock Option (right to buy)		14.13		24-JUN-2025				4	A	0				20000.0				0.0		A		24-JUN-2026	F1	23-JUN-2035		Common Stock		20000.0				20000.0				D			
0000950170-25-093607	3178546	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093605	3054707	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093605	3054708	Restricted Stock Units			F1	01-JUL-2025				4	M	false				561.0				0.0		D			F2		F2	SFNC Common Stock		561.0				560.0	F4			D			
0000950170-25-093604	2966484	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093602	2966404	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093601	3264293	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093600	2966479	Restricted Stock Units			F1	01-JUL-2025				4	M	false				561.0				0.0		D			F2		F2	SFNC Common Stock		561.0				560.0	F4			D			
0000950170-25-093600	2966478	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093599	2966459	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093597	2966413	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093596	2966565	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093595	3057074	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093593	2966519	Restricted Stock Units			F1	01-JUL-2025				4	M	false				953.0				0.0		D			F2		F2	SFNC Common Stock		953.0				953.0	F3			D			
0000950170-25-093593	2966520	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F4			D			
0000950170-25-093592	3193591	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093591	2966450	Restricted Stock Units			F1	01-JUL-2025				4	M	false				929.0				0.0		D			F2		F2	SFNC Common Stock		929.0				1857.0	F3			D			
0000950170-25-093589	3207541	Series A Convertible Preferred Stock		10.0	F1	01-JUL-2025				4	J	false				31278.68	F2				F2	A			F3		F3	Common Stock		3127868.0	F1			34278.68	F3			D			
0000950170-25-093589	3207540	Series A Convertible Preferred Stock		10.0	F1	01-JUL-2025				4	C	false				15000.0				0.0		D			F3		F3	Common Stock		1500000.0	F1			3000.0	F3			D			
0001628280-25-034157	2967172	Restricted Stock Units			F2	01-JUL-2025				4	M	0				2335.0				0.0		D			F3		F3	Class A Common Stock		2335.0				32700.0				D			
0001628280-25-034157	2967173	Restricted Stock Units			F2	01-JUL-2025				4	M	0				6613.0				0.0		D			F4		F4	Class A Common Stock		6613.0				0.0				D			
0001628280-25-034154	2966529	Restricted Stock Units			F2	01-JUL-2025				4	M	0				305.0				0.0		D			F4		F4	Class A Common Stock		305.0				1830.0				D			
0001628280-25-034154	2966528	Restricted Stock Units			F2	01-JUL-2025				4	M	0				1401.0				0.0		D			F3		F3	Class A Common Stock		1401.0				19620.0				D			
0001628280-25-034153	3234120	Restricted Stock Units			F3	01-JUL-2025				4	M	0				8449.0				0.0		D			F5		F5	Class A Common Stock		8449.0				0.0				D			
0001628280-25-034153	3234119	Restricted Stock Units			F3	01-JUL-2025				4	M	0				2335.0				0.0		D			F4		F4	Class A Common Stock		2335.0				32700.0				D			
0001628280-25-034150	3166129	Restricted Stock Units			F2	01-JUL-2025				4	M	0				3803.0				0.0		D			F3	13-JAN-2028		Class A Common Stock		3803.0				0.0				D			
0001225208-25-006450	2967176	Deferred Stock Unit			F1	01-JUL-2025				4	A	0				480.0	F1				F1	A			F1		F1	Common Stock		480.0				48149.0	F2			D			
0001225208-25-006450	2967177	Deferred Stock Unit			F3	01-JUL-2025				4	A	0				251.0	F3				F3	A			F3		F3	Common Stock		251.0				48400.0	F2			D			
0001225208-25-006449	3068908	Deferred Stock Unit			F3	01-JUL-2025				4	A	0				222.0	F3				F3	A			F3		F3	Common Stock		222.0				42723.0	F2			D			
0001225208-25-006449	3068907	Deferred Stock Unit			F1	01-JUL-2025				4	A	0				451.0	F1				F1	A			F1		F1	Common Stock		451.0				42501.0	F2			D			
0001225208-25-006448	2966568	Deferred Stock Unit			F1	01-JUL-2025				4	A	0				46.0	F1				F1	A			F1		F1	Common Stock		46.0				8961.0	F2			D			
